timestamps,TP9,AF7,AF8,TP10,Right AUX
1761606145.633,-21.484,-16.602,-38.086,-49.316,0.000
1761606145.637,-5.859,-18.555,-36.621,-40.527,0.000
1761606145.641,-16.113,-20.996,-32.715,-37.598,0.000
1761606145.645,-29.297,-22.461,-33.203,-35.156,0.000
1761606145.649,-41.504,-23.438,-37.109,-26.855,0.000
1761606145.653,-39.062,-20.508,-36.621,-30.762,0.000
1761606145.657,-11.719,-20.020,-34.180,-40.039,0.000
1761606145.660,-5.371,-23.926,-38.574,-44.922,0.000
1761606145.664,-17.090,-21.973,-39.062,-48.828,0.000
1761606145.668,-41.016,-23.926,-37.109,-48.340,0.000
1761606145.672,-61.523,-24.902,-37.598,-43.457,0.000
1761606145.676,-44.434,-19.043,-34.180,-38.574,0.000
1761606145.680,-40.527,-18.555,-35.156,-39.551,0.000
1761606145.684,-54.688,-18.066,-35.645,-37.109,0.000
1761606145.688,-47.363,-17.578,-27.832,-36.133,0.000
1761606145.692,-42.480,-18.066,-26.855,-41.016,0.000
1761606145.696,-45.410,-21.484,-30.762,-42.480,0.000
1761606145.700,-37.598,-21.484,-31.738,-36.133,0.000
1761606145.703,-38.574,-24.414,-34.668,-25.879,0.000
1761606145.707,-45.898,-26.367,-31.250,-24.414,0.000
1761606145.711,-38.574,-22.949,-27.832,-38.086,0.000
1761606145.715,-28.809,-28.320,-33.691,-48.828,0.000
1761606145.719,-20.508,-31.738,-36.621,-55.664,0.000
1761606145.723,-29.785,-21.973,-32.715,-50.781,0.000
1761606145.727,-42.480,-19.531,-22.461,-38.086,0.000
1761606145.731,-36.621,-24.902,-24.414,-33.691,0.000
1761606145.735,-23.926,-23.438,-34.180,-42.969,0.000
1761606145.739,-27.344,-20.020,-39.062,-47.852,0.000
1761606145.743,-30.762,-21.484,-40.527,-47.852,0.000
1761606145.746,-17.090,-23.438,-40.527,-44.434,0.000
1761606145.750,2.930,-22.949,-37.598,-36.133,0.000
1761606145.754,1.953,-20.508,-32.715,-27.344,0.000
1761606145.758,-20.020,-22.949,-31.738,-20.508,0.000
1761606145.762,-30.762,-27.344,-35.156,-28.320,0.000
1761606145.766,-44.922,-16.602,-32.715,-24.414,0.000
1761606145.770,-54.199,-17.578,-24.414,-15.137,0.000
1761606145.774,-38.574,-24.414,-27.832,-13.672,0.000
1761606145.778,-20.996,-23.438,-32.227,-21.484,0.000
1761606145.782,-24.414,-25.391,-33.203,-19.043,0.000
1761606145.785,-32.227,-27.344,-35.645,-21.973,0.000
1761606145.789,-27.344,-24.414,-35.645,-29.785,0.000
1761606145.793,-20.020,-20.996,-33.691,-18.066,0.000
1761606145.797,-25.879,-20.020,-35.156,-15.625,0.000
1761606145.801,-20.996,-17.578,-35.645,-24.902,0.000
1761606145.805,-22.949,-24.902,-36.133,-28.320,0.000
